maze_code,search_name,size,runtime,num_explored,num_solution
08_021,Depth-First Search,8,0.0805,19,15
08_022,Depth-First Search,8,0.0370,9,9
08_023,Depth-First Search,8,0.0783,19,15
08_024,Depth-First Search,8,0.1279,27,17
08_025,Depth-First Search,8,0.0808,23,23
08_026,Depth-First Search,8,0.0322,9,9
08_027,Depth-First Search,8,0.1062,25,19
08_028,Depth-First Search,8,0.0652,13,13
08_029,Depth-First Search,8,0.0842,21,17
08_030,Depth-First Search,8,0.0313,9,9
08_031,Depth-First Search,8,0.0466,13,13
08_032,Depth-First Search,8,0.1267,31,25
08_033,Depth-First Search,8,0.0728,21,21
08_034,Depth-First Search,8,0.0842,21,17
08_035,Depth-First Search,8,0.2714,25,17
08_036,Depth-First Search,8,0.2008,25,25
08_037,Depth-First Search,8,0.0884,19,17
08_038,Depth-First Search,8,0.0586,17,17
08_039,Depth-First Search,8,0.0882,19,11
08_040,Depth-First Search,8,0.0905,27,27
08_041,Depth-First Search,8,0.0937,27,27
08_042,Depth-First Search,8,0.0648,19,19
08_043,Depth-First Search,8,0.0969,23,21
08_044,Depth-First Search,8,0.0330,9,9
08_045,Depth-First Search,8,0.0588,17,17
08_046,Depth-First Search,8,0.0567,17,17
08_047,Depth-First Search,8,0.2560,17,17
08_048,Depth-First Search,8,0.0713,9,9
08_049,Depth-First Search,8,0.0680,9,9
08_050,Depth-First Search,8,0.1284,17,17
08_051,Depth-First Search,8,0.1148,15,15
08_052,Depth-First Search,8,0.1262,17,17
08_053,Depth-First Search,8,0.0971,13,13
08_054,Depth-First Search,8,0.1167,23,23
08_055,Depth-First Search,8,0.0721,19,17
08_056,Depth-First Search,8,0.0309,9,9
08_057,Depth-First Search,8,0.0367,11,11
08_058,Depth-First Search,8,0.0631,19,19
08_059,Depth-First Search,8,0.0499,11,11
08_060,Depth-First Search,8,0.1215,25,13
08_061,Depth-First Search,8,0.0850,25,25
08_062,Depth-First Search,8,0.0390,11,11
08_063,Depth-First Search,8,0.1261,25,11
08_064,Depth-First Search,8,0.0930,21,13
08_065,Depth-First Search,8,0.0450,13,13
08_066,Depth-First Search,8,0.0393,9,9
08_067,Depth-First Search,8,0.0456,13,13
08_068,Depth-First Search,8,0.0984,27,25
08_069,Depth-First Search,8,0.0466,13,13
08_070,Depth-First Search,8,0.0544,17,17
08_071,Depth-First Search,8,0.0761,19,17
08_072,Depth-First Search,8,0.0690,17,13
08_073,Depth-First Search,8,0.0821,23,21
08_074,Depth-First Search,8,0.0353,11,11
08_075,Depth-First Search,8,0.0300,9,9
08_076,Depth-First Search,8,0.2419,31,21
08_077,Depth-First Search,8,0.0455,13,13
08_078,Depth-First Search,8,0.0554,9,9
08_079,Depth-First Search,8,0.0688,17,17
08_080,Depth-First Search,8,0.0645,17,17
08_081,Depth-First Search,8,0.0987,29,29
08_082,Depth-First Search,8,0.0568,17,17
08_083,Depth-First Search,8,0.1245,27,17
08_084,Depth-First Search,8,0.0318,9,9
08_085,Depth-First Search,8,0.1403,31,21
08_086,Depth-First Search,8,0.0551,17,17
08_087,Depth-First Search,8,0.0561,15,15
08_088,Depth-First Search,8,0.0789,21,17
08_089,Depth-First Search,8,0.0434,13,13
08_090,Depth-First Search,8,0.0685,21,21
08_091,Depth-First Search,8,0.0383,11,11
08_092,Depth-First Search,8,0.0790,17,17
08_093,Depth-First Search,8,0.1207,17,17
08_094,Depth-First Search,8,0.1956,25,25
08_095,Depth-First Search,8,0.1519,19,17
08_096,Depth-First Search,8,0.2379,21,21
08_097,Depth-First Search,8,0.0593,9,9
08_098,Depth-First Search,8,0.0570,17,17
08_099,Depth-First Search,8,0.0748,21,15
08_100,Depth-First Search,8,0.1021,25,25
16_001,Depth-First Search,16,1.0981,105,65
16_002,Depth-First Search,16,2.2513,103,37
16_003,Depth-First Search,16,0.2690,29,29
16_004,Depth-First Search,16,1.2733,121,93
16_005,Depth-First Search,16,0.8561,75,71
16_006,Depth-First Search,16,0.4409,47,47
16_007,Depth-First Search,16,1.4354,117,53
16_008,Depth-First Search,16,0.2523,21,21
16_009,Depth-First Search,16,1.1502,85,61
16_010,Depth-First Search,16,0.6856,57,45
16_011,Depth-First Search,16,1.3720,101,79
16_012,Depth-First Search,16,1.4310,121,69
16_013,Depth-First Search,16,0.7481,67,67
16_014,Depth-First Search,16,0.9524,71,65
16_015,Depth-First Search,16,0.8543,81,71
16_016,Depth-First Search,16,1.3691,117,77
16_017,Depth-First Search,16,0.9060,83,69
16_018,Depth-First Search,16,0.6190,63,51
16_019,Depth-First Search,16,0.6227,71,71
16_020,Depth-First Search,16,0.1915,21,21
16_021,Depth-First Search,16,1.5831,123,45
16_022,Depth-First Search,16,0.4132,49,49
16_023,Depth-First Search,16,0.2539,33,33
16_024,Depth-First Search,16,0.5443,59,49
16_025,Depth-First Search,16,0.3604,33,33
16_026,Depth-First Search,16,0.5429,45,37
16_027,Depth-First Search,16,1.6838,123,57
16_028,Depth-First Search,16,0.6577,67,57
16_029,Depth-First Search,16,0.5057,61,61
16_030,Depth-First Search,16,0.2228,25,25
16_031,Depth-First Search,16,0.3773,41,41
16_032,Depth-First Search,16,0.1708,19,17
16_033,Depth-First Search,16,0.4424,49,49
16_034,Depth-First Search,16,0.4329,47,47
