filename,search_name,size,runtime,num_explored,num_solution
08_016,Breadth-First Search,8,0.1100,14,11
08_017,Breadth-First Search,8,0.1755,23,21
08_018,Breadth-First Search,8,0.2083,27,25
08_019,Breadth-First Search,8,0.1907,25,19
08_020,Breadth-First Search,8,0.1990,25,21
08_021,Breadth-First Search,8,0.1256,15,13
08_022,Breadth-First Search,8,0.1644,15,13
08_023,Breadth-First Search,8,0.1993,26,21
08_024,Breadth-First Search,8,0.1499,19,17
08_025,Breadth-First Search,8,0.1060,14,13
08_026,Breadth-First Search,8,0.1892,25,23
08_027,Breadth-First Search,8,0.1944,31,29
08_028,Breadth-First Search,8,0.0713,12,11
08_029,Breadth-First Search,8,0.1267,25,19
08_030,Breadth-First Search,8,0.1256,25,25
08_031,Breadth-First Search,8,0.1079,21,17
08_032,Breadth-First Search,8,0.0891,17,17
08_033,Breadth-First Search,8,0.1320,25,21
08_034,Breadth-First Search,8,0.1519,25,21
08_035,Breadth-First Search,8,0.1418,15,13
08_036,Breadth-First Search,8,0.1427,17,17
08_037,Breadth-First Search,8,0.1221,17,17
08_038,Breadth-First Search,8,0.0930,18,17
08_039,Breadth-First Search,8,0.0719,13,13
08_040,Breadth-First Search,8,0.0918,17,15
08_041,Breadth-First Search,8,0.1587,30,27
08_042,Breadth-First Search,8,0.1618,31,29
08_043,Breadth-First Search,8,0.1246,24,19
08_044,Breadth-First Search,8,0.0493,9,9
08_045,Breadth-First Search,8,0.0999,15,15
08_046,Breadth-First Search,8,0.1093,20,17
08_047,Breadth-First Search,8,0.1311,25,19
08_048,Breadth-First Search,8,0.0688,13,13
08_049,Breadth-First Search,8,0.0622,11,9
08_050,Breadth-First Search,8,0.1009,20,19
08_051,Breadth-First Search,8,0.0459,9,9
08_052,Breadth-First Search,8,0.0896,16,13
08_053,Breadth-First Search,8,0.1069,21,19
08_054,Breadth-First Search,8,0.0782,15,13
08_055,Breadth-First Search,8,0.1028,19,17
08_056,Breadth-First Search,8,0.0793,15,13
08_057,Breadth-First Search,8,0.1013,19,15
08_058,Breadth-First Search,8,0.0845,16,13
08_059,Breadth-First Search,8,0.0929,17,17
08_060,Breadth-First Search,8,0.1598,31,21
08_061,Breadth-First Search,8,0.1261,25,21
08_062,Breadth-First Search,8,0.0627,12,11
08_063,Breadth-First Search,8,0.1004,19,15
08_064,Breadth-First Search,8,0.1433,27,25
08_065,Breadth-First Search,8,0.1339,25,25
08_066,Breadth-First Search,8,0.0484,9,9
08_067,Breadth-First Search,8,0.1908,23,21
08_068,Breadth-First Search,8,0.0525,9,9
08_069,Breadth-First Search,8,0.1421,27,21
08_070,Breadth-First Search,8,0.1264,25,25
08_071,Breadth-First Search,8,0.0521,9,9
08_072,Breadth-First Search,8,0.0666,13,13
08_073,Breadth-First Search,8,0.0885,17,17
08_074,Breadth-First Search,8,0.0472,9,9
08_075,Breadth-First Search,8,0.0600,9,9
08_076,Breadth-First Search,8,0.1060,20,17
08_077,Breadth-First Search,8,0.1186,23,19
08_078,Breadth-First Search,8,0.0787,15,11
08_079,Breadth-First Search,8,0.0524,9,9
08_080,Breadth-First Search,8,0.0998,13,13
08_081,Breadth-First Search,8,0.1617,29,27
08_082,Breadth-First Search,8,0.0563,10,9
08_083,Breadth-First Search,8,0.1229,23,21
08_084,Breadth-First Search,8,0.0883,17,17
08_085,Breadth-First Search,8,0.0924,16,13
08_086,Breadth-First Search,8,0.1449,21,15
08_087,Breadth-First Search,8,0.1563,31,25
08_088,Breadth-First Search,8,0.1255,21,17
08_089,Breadth-First Search,8,0.1853,28,21
08_090,Breadth-First Search,8,0.1136,19,17
08_091,Breadth-First Search,8,0.1242,21,17
08_092,Breadth-First Search,8,0.1563,29,25
08_093,Breadth-First Search,8,0.0930,17,13
08_094,Breadth-First Search,8,0.1435,25,25
08_095,Breadth-First Search,8,0.1028,17,15
08_096,Breadth-First Search,8,0.0836,15,13
08_097,Breadth-First Search,8,0.1429,27,25
08_098,Breadth-First Search,8,0.1378,26,25
08_099,Breadth-First Search,8,0.2011,25,25
08_100,Breadth-First Search,8,0.0698,13,11
16_001,Breadth-First Search,16,1.5522,85,79
16_002,Breadth-First Search,16,2.2235,98,69
16_003,Breadth-First Search,16,1.0576,61,49
16_004,Breadth-First Search,16,1.3103,61,45
16_005,Breadth-First Search,16,1.1043,67,51
16_006,Breadth-First Search,16,1.3084,71,59
16_007,Breadth-First Search,16,1.5506,85,77
16_008,Breadth-First Search,16,2.4389,127,73
16_009,Breadth-First Search,16,0.8714,41,33
16_010,Breadth-First Search,16,1.8190,102,69
16_011,Breadth-First Search,16,0.9117,39,33
16_012,Breadth-First Search,16,1.4936,74,59
16_013,Breadth-First Search,16,2.9514,117,89
16_014,Breadth-First Search,16,2.1273,87,77
16_015,Breadth-First Search,16,2.3104,97,83
16_016,Breadth-First Search,16,1.0697,53,53
16_017,Breadth-First Search,16,1.2847,41,33
16_018,Breadth-First Search,16,0.9049,37,31
16_019,Breadth-First Search,16,1.1408,56,49
16_020,Breadth-First Search,16,0.6079,47,41
16_021,Breadth-First Search,16,1.0683,67,51
16_022,Breadth-First Search,16,0.9089,56,49
16_023,Breadth-First Search,16,2.5267,125,93
16_024,Breadth-First Search,16,0.7527,38,37
16_025,Breadth-First Search,16,2.2706,125,83
16_026,Breadth-First Search,16,1.1897,73,59
16_027,Breadth-First Search,16,1.7318,104,77
16_028,Breadth-First Search,16,1.0261,67,57
16_029,Breadth-First Search,16,0.7158,53,41
16_030,Breadth-First Search,16,1.1994,55,45
16_031,Breadth-First Search,16,2.1940,119,61
16_032,Breadth-First Search,16,3.5936,97,81
16_033,Breadth-First Search,16,2.8669,119,85
16_034,Breadth-First Search,16,1.1732,51,45
16_035,Breadth-First Search,16,1.3158,71,51
16_036,Breadth-First Search,16,0.6207,24,21
16_037,Breadth-First Search,16,1.3435,51,37
16_038,Breadth-First Search,16,1.3987,88,61
16_039,Breadth-First Search,16,0.9581,75,53
16_040,Breadth-First Search,16,2.0612,125,85
16_041,Breadth-First Search,16,1.9841,99,77
16_042,Breadth-First Search,16,1.8383,110,83
16_043,Breadth-First Search,16,1.0107,57,53
16_044,Breadth-First Search,16,1.8988,119,75
16_045,Breadth-First Search,16,0.8352,35,31
16_046,Breadth-First Search,16,0.5450,31,29
16_047,Breadth-First Search,16,0.6457,39,33
16_048,Breadth-First Search,16,2.4777,121,97
16_049,Breadth-First Search,16,1.9848,83,69
16_050,Breadth-First Search,16,1.8622,98,77
16_051,Breadth-First Search,16,2.8221,103,65
16_052,Breadth-First Search,16,1.3020,47,35
16_053,Breadth-First Search,16,1.2312,41,41
16_054,Breadth-First Search,16,1.5386,69,57
16_055,Breadth-First Search,16,2.1538,77,65
16_056,Breadth-First Search,16,2.5516,112,89
16_057,Breadth-First Search,16,2.1803,105,79
16_058,Breadth-First Search,16,2.5218,91,65
16_059,Breadth-First Search,16,1.1632,45,37
16_060,Breadth-First Search,16,0.8729,52,47
16_061,Breadth-First Search,16,1.5321,97,61
16_062,Breadth-First Search,16,1.1929,61,57
16_063,Breadth-First Search,16,3.1459,127,101
16_064,Breadth-First Search,16,1.0032,53,43
16_065,Breadth-First Search,16,0.9046,53,43
16_066,Breadth-First Search,16,0.8477,45,45
16_067,Breadth-First Search,16,2.1712,99,79
16_068,Breadth-First Search,16,1.1806,61,51
16_069,Breadth-First Search,16,2.7428,126,87
16_070,Breadth-First Search,16,1.1238,59,53
16_071,Breadth-First Search,16,1.7513,91,69
16_072,Breadth-First Search,16,1.1259,51,35
16_073,Breadth-First Search,16,2.1330,117,91
16_074,Breadth-First Search,16,1.4771,61,45
16_075,Breadth-First Search,16,1.5398,77,71
16_076,Breadth-First Search,16,2.2952,108,85
16_077,Breadth-First Search,16,1.4534,72,51
16_078,Breadth-First Search,16,2.3432,113,87
16_079,Breadth-First Search,16,1.1133,27,25
16_080,Breadth-First Search,16,2.0659,77,65
16_081,Breadth-First Search,16,1.0247,52,43
16_082,Breadth-First Search,16,1.6110,73,63
16_083,Breadth-First Search,16,2.2675,103,71
16_084,Breadth-First Search,16,0.7174,39,37
16_085,Breadth-First Search,16,1.1243,63,45
16_086,Breadth-First Search,16,1.2335,75,53
16_087,Breadth-First Search,16,1.0855,66,57
